"","date_vaccine_efficacy","dose_ratio"
"1",2020-12-15,0
"2",2020-12-16,0
"3",2020-12-17,0
"4",2020-12-18,0
"5",2020-12-19,0
"6",2020-12-20,0
"7",2020-12-21,0
"8",2020-12-22,0
"9",2020-12-23,0
"10",2020-12-24,0
"11",2020-12-25,0
"12",2020-12-26,0
"13",2020-12-27,0
"14",2020-12-28,0
"15",2020-12-29,0
"16",2020-12-30,0
"17",2020-12-31,0
"18",2021-01-01,0
"19",2021-01-02,0
"20",2021-01-03,0
"21",2021-01-04,0
"22",2021-01-05,0
"23",2021-01-06,0
"24",2021-01-07,0
"25",2021-01-08,0
"26",2021-01-09,0
"27",2021-01-10,0
"28",2021-01-11,0
"29",2021-01-12,0
"30",2021-01-13,0
"31",2021-01-14,0.020563662555795
"32",2021-01-15,0.0395226030089339
"33",2021-01-16,0.0687436076360444
"34",2021-01-17,0.11158914628405
"35",2021-01-18,0.13350978165422
"36",2021-01-19,0.147012771490285
"37",2021-01-20,0.157177984235726
"38",2021-01-21,0.164849654783443
"39",2021-01-22,0.171539134586173
"40",2021-01-23,0.187378953992649
"41",2021-01-24,0.219041874396824
"42",2021-01-25,0.230468432441552
"43",2021-01-26,0.238020859395165
"44",2021-01-27,0.24263543483575
"45",2021-01-28,0.24573074604371
"46",2021-01-29,0.248611735280478
"47",2021-01-30,0.251366698906759
"48",2021-01-31,0.256649267262434
"49",2021-02-01,0.271275786378884
"50",2021-02-02,0.28464777508976
"51",2021-02-03,0.295965634155044
"52",2021-02-04,0.306879017221657
"53",2021-02-05,0.31874604027008
"54",2021-02-06,0.324466848386355
"55",2021-02-07,0.331775999402159
"56",2021-02-08,0.345130512436699
"57",2021-02-09,0.358457722650729
"58",2021-02-10,0.370875221703499
"59",2021-02-11,0.382915615905076
"60",2021-02-12,0.39430293469234
"61",2021-02-13,0.401351925710033
"62",2021-02-14,0.408177275880694
"63",2021-02-15,0.418711968099091
"64",2021-02-16,0.430209709770054
"65",2021-02-17,0.441968907806412
"66",2021-02-18,0.454093461689066
"67",2021-02-19,0.46681925720334
"68",2021-02-20,0.477047455670201
"69",2021-02-21,0.488273743291729
"70",2021-02-22,0.499795780134304
"71",2021-02-23,0.510107295312687
"72",2021-02-24,0.51821240063501
"73",2021-02-25,0.524908652517782
"74",2021-02-26,0.531078980968506
"75",2021-02-27,0.535111921099708
"76",2021-02-28,0.535235671003136
"77",2021-03-01,0.538056345299862
"78",2021-03-02,0.540650242154732
"79",2021-03-03,0.542906934977907
"80",2021-03-04,0.544875198071067
"81",2021-03-05,0.547111685129811
"82",2021-03-06,0.548999110959043
"83",2021-03-07,0.547657107303573
"84",2021-03-08,0.548013738076455
"85",2021-03-09,0.548878554438876
"86",2021-03-10,0.550101910098953
"87",2021-03-11,0.55127540707515
"88",2021-03-12,0.554558145298112
"89",2021-03-13,0.557991530478846
"90",2021-03-14,0.559844003760272
"91",2021-03-15,0.560016321289969
"92",2021-03-16,0.559395535038056
"93",2021-03-17,0.558529839056647
"94",2021-03-18,0.557557756140828
"95",2021-03-19,0.557208141015732
"96",2021-03-20,0.557991300656238
"97",2021-03-21,0.557489167410525
"98",2021-03-22,0.556172413924132
"99",2021-03-23,0.556407205471489
"100",2021-03-24,0.557759788615942
"101",2021-03-25,0.560448291871248
"102",2021-03-26,0.565027822163687
"103",2021-03-27,0.569451461988507
"104",2021-03-28,0.573357423645549
"105",2021-03-29,0.576800514532891
"106",2021-03-30,0.580693865166446
"107",2021-03-31,0.584258618203334
"108",2021-04-01,0.589019690318837
"109",2021-04-02,0.593544613423151
"110",2021-04-03,0.597789841515713
"111",2021-04-04,0.601468299719968
"112",2021-04-05,0.606034363215232
"113",2021-04-06,0.610347343473626
"114",2021-04-07,0.614462470680837
"115",2021-04-08,0.619425550332011
"116",2021-04-09,0.624598485675054
"117",2021-04-10,0.629285855255923
"118",2021-04-11,0.633990941655461
"119",2021-04-12,0.63964183202581
"120",2021-04-13,0.64422604606647
"121",2021-04-14,0.649919635870251
"122",2021-04-15,0.655283709848001
"123",2021-04-16,0.660948665483243
"124",2021-04-17,0.664857405982969
"125",2021-04-18,0.669275635909118
"126",2021-04-19,0.67557240494968
"127",2021-04-20,0.681662479164364
"128",2021-04-21,0.688417196418151
"129",2021-04-22,0.694885206414873
"130",2021-04-23,0.700761794683518
